Year,Births,Deaths
1784,1261,11
1785,1292,8
1786,1351,8
1787,1347,10
1788,1469,23
1789,1435,25
1790,1546,12
1791,1602,25
1792,1631,10
1793,1747,19
1794,1543,20
1795,1503,7
1796,1621,10
1797,1712,13
1798,1604,8
1799,1537,10
1800,1837,18
1801,1725,30
1802,1985,26
1803,2028,44
1804,1915,16
1805,2220,12
1806,2406,23
1807,2511,12
1808,2665,13
1809,2889,21
1810,2854,29
1811,2561,24
1812,2676,43
1813,2484,62
1814,2508,25
1815,3075,17
1816,3314,18
1817,3473,32
1818,3539,56
1819,3197,94
1820,2458,70
1821,2849,22
1822,2675,12
1823,2584,59
1824,2446,20
1825,2740,26
1826,2440,81
1827,2550,33
1828,2856,43
1829,2141,34
1830,2288,12
1831,2176,12
1832,2242,12
1833,2138,12
1834,2024,34
1835,1902,34
1836,1810,36
1837,1833,24
1838,2126,45
1839,1951,25
1840,1521,26
1841,2003,23
1842,2171,21
1843,2210,22
1844,2288,14
1845,1411,35
1846,2025,17
1847,1703,47
1848,1816,35
1849,2063,38
