Year,Births,Deaths
1784,284,6
1785,899,13
1786,"1,151",5
1787,"1,407",5
1788,"1,425",5
1789,"1,246",7
1790,"1,326",10
1791,"1,395",8
1792,"1,579",14
1793,"1,684",44
1794,"1,768",7
1795,"1,798",38
1796,"1,904",22
1797,"2,012",5
1798,"2,046",5
1799,"2,067",20
1800,"2,070",41
1801,"2,106",17
1802,"2,346",9
1803,"2,215",16
1804,"2,022",8
1805,"2,112",9
1806,"1,875",13
1807,925,6
1808,855,7
1809,912,13
1810,744,6
1811,"1,050",20
1812,"1,419",9
1813,"1,945",21
1814,"2,062",66
1815,"2,591",19
1816,"2,410",12
1817,"2,735",25
1818,"2,568",56
1819,"3,089",154
1820,"2,998",75
1821,"3,294",55
1822,"3,066",26
1823,"2,872",214
1824,"2,911",144
1825,"2,594",229
1826,"2,359",192
1827,"2,367",51
1828,"2,833",101
1829,"3,012",140
1830,"2,797",111
1831,"3,353",222
1832,"3,331",105
1833,"3,737",197
1834,"2,657",205
1835,"2,573",143
1836,"2,677",200
1837,"2,765",251
1838,"2,987",91
1839,"2,781",151
1840,"2,889",267
1841,"3,036",237
1842,"3,287",518
1843,"3,060",274
1844,"3,157",260
1845,"3,492",241
1846,"4,010",459
1847,"3,490",176
1848,"3,556",45
1849,"3,858",103
